region,nationalite,sexe,groupe_d_ages,population_au_01_janvier_1992,population_au_01_janvier_1993,population_au_01_janvier_1994,population_au_01_janvier_1995,population_au_01_janvier_1996,population_au_01_janvier_1997,population_au_01_janvier_1998,population_au_01_janvier_1999,population_au_01_janvier_2000,population_au_01_janvier_2001,population_au_01_janvier_2002,population_au_01_janvier_2003,population_au_01_janvier_2004,population_au_01_janvier_2005,population_au_01_janvier_2006,population_au_01_janvier_2007,population_au_01_janvier_2008,population_au_01_janvier_2009
Région wallonne,Belges,Femmes,Moins de 18 ans,319538,331306,332834,334135,335681,337819,339563,340444,340957,343712,346729,347421,348034,348262,348446,348595,348028,347587
Région wallonne,Belges,Femmes,De 18 à 64 ans,900778,903346,904049,905007,904195,903528,903642,906403,908774,914880,920256,924961,929667,935709,943116,953302,962667,970503
Région wallonne,Belges,Femmes,65 ans et plus,294050,297550,300606,303906,307469,310560,312976,313528,314123,313808,314005,313790,313885,314814,313822,311758,310324,310360
Région wallonne,Belges,Hommes,Moins de 18 ans,334953,347068,348861,350418,351696,353870,355148,356515,357347,360148,362624,363776,364393,364763,364810,364435,363937,363872
Région wallonne,Belges,Hommes,De 18 à 64 ans,871256,874309,875828,878799,880711,881994,884000,887297,889685,896708,903113,908008,913614,920080,927066,937349,945852,953520
Région wallonne,Belges,Hommes,65 ans et plus,178206,181435,184005,186985,190257,193458,196075,197498,198783,199249,200362,201229,202444,203952,204140,203500,203567,204868
Région wallonne,non-Belges,Femmes,Moins de 18 ans,41713,31324,30306,29020,26691,25138,23678,22416,21577,19243,17857,17266,16842,16593,17259,17836,18139,18085
Région wallonne,non-Belges,Femmes,De 18 à 64 ans,112385,112551,112815,112434,111204,110819,110368,109552,109855,106613,104636,104191,104280,104428,105932,107796,109849,111367
Région wallonne,non-Belges,Femmes,65 ans et plus,19130,20126,20980,21859,22725,23467,24129,24901,25578,26187,26578,26986,27588,28222,28762,29035,29283,29537
Région wallonne,non-Belges,Hommes,Moins de 18 ans,43887,32807,31672,30176,27801,26082,24843,23395,22491,20228,18689,17926,17515,17119,17748,18268,18907,18884
Région wallonne,non-Belges,Hommes,De 18 à 64 ans,142581,143183,143290,140298,135673,133308,130987,128919,128461,123608,121436,120131,119422,118879,119375,120321,121987,123090
Région wallonne,non-Belges,Hommes,65 ans et plus,17446,18347,19105,19758,20318,20762,21298,21586,21885,22073,22275,22565,22814,23121,23502,23684,23816,23998
