region,nationalite,sexe,groupe_d_ages,population_au_01_janvier_2010,population_au_01_janvier_2011,population_au_01_janvier_2012,population_au_01_janvier_2013,population_au_01_janvier_2014,population_au_01_janvier_2015,population_au_01_janvier_2016,population_au_01_janvier_2017,population_au_01_janvier_2018,population_au_01_janvier_2019,population_au_01_janvier_2020,population_au_01_janvier_2021,population_au_01_janvier_2022,population_au_01_janvier_2023
Région wallonne,Belges,Femmes,Moins de 18 ans,346560,346378,346531,347573,347894,346899,346082,344691,343354,341055,339411,337522,336448,334770
Région wallonne,Belges,Femmes,De 18 à 64 ans,978098,985389,986221,987031,986051,984423,982749,981228,979557,978186,976743,974678,973325,971507
Région wallonne,Belges,Femmes,65 ans et plus,311337,312750,318807,324359,329608,334865,339140,343742,348549,353664,359389,362083,368092,373323
Région wallonne,Belges,Hommes,Moins de 18 ans,362614,362611,362264,362962,363330,362824,361807,360583,358889,356557,354681,352757,352086,350295
Région wallonne,Belges,Hommes,De 18 à 64 ans,961344,970011,971277,972305,972020,971715,971935,972072,972165,972582,972283,972689,973015,972461
Région wallonne,Belges,Hommes,65 ans et plus,207268,209475,216605,223361,230080,236588,242312,247430,252713,258344,264385,267304,272861,278606
Région wallonne,non-Belges,Femmes,Moins de 18 ans,19072,20217,21612,22143,22263,23144,24078,25046,25657,26349,27132,27546,28056,30482
Région wallonne,non-Belges,Femmes,De 18 à 64 ans,113303,116235,117421,117057,117626,119514,121739,123527,124891,126291,127920,129077,131455,136776
Région wallonne,non-Belges,Femmes,65 ans et plus,29914,30089,30352,30535,30923,31198,31528,31904,32194,32484,32788,32780,33109,33888
Région wallonne,non-Belges,Hommes,Moins de 18 ans,19741,21020,22481,22941,23146,23999,24900,26246,27099,27794,28451,28757,29228,31493
Région wallonne,non-Belges,Hommes,De 18 à 64 ans,124616,126722,127578,127072,127038,127440,128137,129507,129987,130401,131268,131643,132671,134953
Région wallonne,non-Belges,Hommes,65 ans et plus,24517,24643,25180,25721,26346,27135,27809,28497,29322,30088,30792,31370,32149,33021
